review_id,review_date,platform,page_name,reviewer_alias,rating,sentiment,menu_item,order_channel,customer_type,wait_time_min,price_mentioned_thb,topic_tags,issue_area,priority,review_text,suggested_action
R001,2026-05-07,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,ปราณี รักอร่อย,3,กลาง,ข้าวหมูทอดกระเทียม,LINE,ลูกค้าประจำ,25,55,"เวลารอ/คิว, ระบบออเดอร์",การจัดการคิวและออเดอร์,กลาง,เมนูเยอะดี แต่ช่วงเที่ยงรับออเดอร์ค่อนข้างช้า โดยเฉพาะทาง LINE,แยกคิวหน้าร้าน/LINE แจ้งเวลารอ และแจ้งเมนูหมดทันที
R002,2026-05-21,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,เจน หิวข้าว,5,บวก,ข้าวผัดปู,LINE,ผู้สูงอายุ,,,"บริการ, สถานที่/ที่นั่ง",จุดแข็ง/รักษามาตรฐาน,ต่ำ,พนักงานพูดจาดี เจ้าของร้านเป็นกันเอง อาหารร้อนและสดใหม่,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
R003,2026-05-24,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,ศิริพร หิวข้าว,2,ลบ,ต้มยำกุ้ง,โทรศัพท์,ครอบครัว,15,,เวลารอ/คิว,การจัดการคิวและออเดอร์,สูง,รอนานมากช่วงเที่ยง คิวไม่ชัดเจน คนมาทีหลังได้ก่อน,แยกคิวหน้าร้าน/LINE แจ้งเวลารอ และแจ้งเมนูหมดทันที
R004,2026-05-08,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,บีม หิวข้าว,5,บวก,ต้มจืดเต้าหู้หมูสับ,โทรศัพท์,พนักงานออฟฟิศ,,65,"รสชาติ, ราคา/ความคุ้มค่า",จุดแข็ง/รักษามาตรฐาน,ต่ำ,อร่อยมาก ต้มจืดเต้าหู้หมูสับ รสชาติเข้มข้น ราคาไม่แพง สั่งแล้วประทับใจค่ะ,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
R005,2026-05-21,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,ชัยวัฒน์ ออฟฟิศ,5,บวก,ต้มจืดเต้าหู้หมูสับ,LINE,ผู้สูงอายุ,,,"บริการ, สถานที่/ที่นั่ง",จุดแข็ง/รักษามาตรฐาน,ต่ำ,พนักงานพูดจาดี เจ้าของร้านเป็นกันเอง อาหารร้อนและสดใหม่,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
R006,2026-05-13,TikTok Comment,ครัวป้าแดง — อาหารตามสั่ง,ปราณี สุขใจ,5,บวก,คะน้าหมูกรอบ,LINE,ลูกค้าประจำ,30,,ทั่วไป,จุดแข็ง/รักษามาตรฐาน,ต่ำ,สั่งมากินที่ออฟฟิศหลายรอบแล้ว ทุกคนชอบ โดยเฉพาะ คะน้าหมูกรอบ,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
R007,2026-05-14,Facebook Page,ครัวป้าแดง — อาหารตามสั่ง,ชัยวัฒน์ สุขใจ,2,ลบ,ยำมะม่วง,เดลิเวอรี,ผู้สูงอายุ,15,,บรรจุภัณฑ์,บริการทั่วไป,สูง,แพ็กอาหารกลับบ้านไม่เรียบร้อย น้ำซุปรั่วใส่ถุง ต้องปรับปรุงครับ,ขอโทษ รับฟัง และติดตามลูกค้าหลังแก้ไข
R008,2026-05-18,Google Review,ครัวป้าแดง — อาหารตามสั่ง,กัญญา ลูกค้าประจำ,1,ลบ,ราดหน้า,โทรศัพท์,ลูกค้าประจำ,12,60,บรรจุภัณฑ์,บริการทั่วไป,สูง,แพ็กอาหารกลับบ้านไม่เรียบร้อย น้ำซุปรั่วใส่ถุง ต้องปรับปรุงครับ,ขอโทษ รับฟัง และติดตามลูกค้าหลังแก้ไข
R009,2026-05-25,LINE OA,ครัวป้าแดง — อาหารตามสั่ง,อ้อม รีวิวจริง,4,บวก,ราดหน้า,โทรศัพท์,ลูกค้าใหม่,20,,ทั่วไป,จุดแข็ง/รักษามาตรฐาน,ต่ำ,สั่งมากินที่ออฟฟิศหลายรอบแล้ว ทุกคนชอบ โดยเฉพาะ ราดหน้า,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
R010,2026-05-18,LINE OA,ครัวป้าแดง — อาหารตามสั่ง,สมชาย ออฟฟิศ,5,บวก,ยำมะม่วง,โทรศัพท์,พนักงานออฟฟิศ,,,"ราคา/ความคุ้มค่า, เวลารอ/คิว",จุดแข็ง/รักษามาตรฐาน,ต่ำ,กินร้านนี้บ่อยมาก คุณภาพดีเหมือนเดิม ยำมะม่วง ทำเร็วและให้เยอะครับ,ขอบคุณลูกค้าและชวนกลับมาใช้บริการ/รีวิวซ้ำ
